sound_id,label,confidence,category,evidence
0x00,invincibility_on,confirmed,player item,"Known from gameplay; 41FA/BE67 set DS:072C=0x3A then play_sound(0)."
0x01,landing_impact,high,player movement,"4462 plays after movement state change and sets 0x1E tick impact/animation countdown."
0x02,collectible_pickup,high,pickup,"3BA2 handles collision result <7, clears pickup slot tables and redraws 16x16 object."
0x03,special_pickup_or_green_symbol,high,pickup/control,"3C4A handles collision result ==7 and clears BFBC+0x3E5..0x3E7 object bytes; gameplay listening suggests this is also/possibly the green-block symbol feedback and intentionally apple-like."
0x04,actor_fireball,high,actor,"Actor VM play_sound in Fireball scripts."
0x05,actor_unknown,medium,actor,"Actor VM play_sound in unnamed actor records."
0x06,actor_pill_projectile,high,actor,"Actor VM play_sound in Pill Projectile and Praying Mantis projectile scripts."
0x07,actor_energy_orb,high,actor,"Actor VM play_sound in Energy Orb scripts."
0x08,special_object_pickup_unknown,low,pickup/object,"34FC after drawing object sequence; exact object type unknown."
0x09,ui_status_unknown,low,ui,"9D80 plays sound then waits for DS:1770; context not fully named."
0x0A,control_button_switch_family,medium,control,"36F0 starts with play_sound(0x0A) for collision results 0x20..0x2F control objects."
0x0B,movement_bump_or_snap,medium,player movement,"4083 plays in movement collision code after snapping X to 8px boundary."
0x0C,jump,high,player movement,"4133 grounded jump branch, sets jump counter DS:0730=5."
0x0D,room_transition,medium,transition,"233E/249F room/scene transition drawing loops."
0x0E,jello_laser_cell_take,high,laser/jello puzzle,"8DA4 copies selected table value to DS:C132, marks grid cell FF, calls 9402(1)."
0x0F,headlamp_beam_hit_reflect,high,headlamp,"5D11/5D34/5D57 after beam collision/reflection classifier returns 1/2/3."
0x10,rocket_boots_jump,high,player movement,"40B7 alternate action branch, sets longer jump counter DS:0730=8."
0x11,failed_invincibility_use,medium,player item,"4204/BE71 when 7313(-1) returns FFFF; success branch plays 0x00."
0x12,actor_sparkles,high,actor,"Actor VM play_sound in Sparkles scripts."
0x13,unused_or_unseen,low,unknown,"No hardcoded/actor caller found in current scan."
0x14,headlamp_shot_start,high,headlamp,"4222 immediately after call 5A3B initializes beam state DS:08FE=1."
0x15,actor_sparkles_phase,high,actor,"Actor VM Sparkles second phase and hardcoded sparkles-like routine 9AD1."
0x16,special_object_condition_unknown,low,pickup/object,"3510 when es:[bx+1] == 2 in object handling routine."
0x17,invalid_action_or_blocked_laser,high,laser/headlamp,"8D4C/8FB2 unavailable jello slot; 422C/BE93 when beam state already active."
0x18,looped_transition_effect,medium,transition/ui,"58E5/596F set DS:1774=1 before playing; looped/retriggered until cleared."
0x19,looped_major_transition,medium,transition/ui,"B82A set DS:1774=1 before playing; long interrupted stream."
0x1A,jello_laser_cell_place,high,laser/jello puzzle,"8FE2 writes DS:C132 back to selected FF cell and calls 9402(0); reverse of 0x0E."
0x1B,end_or_extra_puzzle_success,high,end puzzle,"904C after 969D() success and follow-up routines; long fanfare-like stream. Gameplay feedback: this belongs to the extra/end-of-level puzzle, not ordinary in-room puzzle feedback."
